Number of rooms,Area (m2),Price (€),Price per m2 (€),Zone,Link
3,63,69000,1095,Rogerius,https://www.storia.ro/ro/oferta/apartamet-cu-3-camere-zona-rogerius-IDlifF.html#a2d72aa0d8
2,58,59900,1033,Rogerius,https://www.storia.ro/ro/oferta/apartament-2-camere-zona-rogerius-IDlifE.html#a2d72aa0d8
2,58,55000,948,Episcopia Bihor,https://www.storia.ro/ro/oferta/apartament-de-vanzare-oradea-IDli95.html#a2d72aa0d8
3,79,63000,797,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-str-tusnadului-rogerius-IDgX0s.html#a2d72aa0d8
2,57,57000,1000,Olosig,https://www.storia.ro/ro/oferta/apartament-de-vanzare-2-camere-ultracentral-magheru-IDkH2V.html#a2d72aa0d8
3,81,59000,728,Salca,https://www.storia.ro/ro/oferta/apartamente-noi-cantemir-zona-universitatii-IDkioY.html#a2d72aa0d8
2,65,47500,731,Salca,https://www.storia.ro/ro/oferta/apartamente-noi-cantemir-zona-universitatii-IDkioF.html#a2d72aa0d8
2,53,58000,1094,Rogerius,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-de-vanzare-rogerius-oradea-IDkacL.html#a2d72aa0d8
2,73,61000,836,Oradea,https://www.storia.ro/ro/oferta/milano-5-residence-apartament-doua-camere-IDm42R.html#a2d72aa0d8
3,75,73300,977,Velenta,https://www.storia.ro/ro/oferta/apartament-spatios-confort-1-decomandat-3-camere-IDlN17.html#93beb24ec9
3,78,88000,1128,Oncea,https://www.storia.ro/ro/oferta/apartament-la-casa-de-vanzare-in-oncea-oradea-IDlMD4.html#93beb24ec9
3,90,77900,866,Dorobantilor,https://www.storia.ro/ro/oferta/apartament-central-cu-3-camere-de-vnzare-ofert-avantajoas-IDlKb5.html#93beb24ec9
2,75,62500,833,Oradea,https://www.storia.ro/ro/oferta/milano-5-residence-apartament-doua-camere-IDm42k.html#93beb24ec9
3,83,69500,837,Oradea,https://www.storia.ro/ro/oferta/milano-5-residence-apartament-3-camere-IDm41E.html#93beb24ec9
5,170,128500,756,Dorobantilor,https://www.storia.ro/ro/oferta/ap-5-camere-sucevei-horea-140-mp-utili-demibsol-47-mp-IDguh4.html#93beb24ec9
1,73,61000,836,Oradea,https://www.storia.ro/ro/oferta/milano-5-residence-apartament-doua-camere-IDm408.html#93beb24ec9
3,87,72500,833,Oradea,https://www.storia.ro/ro/oferta/milano-5-residence-apartament-3-camere-IDm3Yr.html#93beb24ec9
3,100,83000,830,Oradea,https://www.storia.ro/ro/oferta/milano-5-residence-apartament-3-camere-IDm3VT.html#93beb24ec9
1,50,38000,760,Salca,https://www.storia.ro/ro/oferta/apartamente-noi-cantemir-zona-universitatii-IDkilE.html#93beb24ec9
2,55,43000,782,Olosig,https://www.storia.ro/ro/oferta/apartament-la-casa-str-hasdeu-decebal-oradea-IDkdTT.html#93beb24ec9
3,150,110000,733,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-la-casa-de-vanzare-zona-centrala-IDcQI4.html#93beb24ec9
3,145,135000,931,Nufarul,https://www.storia.ro/ro/oferta/apartament-trei-camere-de-vanzare-nufarul-plaza-oradea-av084-IDi5QE.html#93beb24ec9
2,50,42900,858,Rogerius,https://www.storia.ro/ro/oferta/apartament-2-camere-rogerius-zona-perla-IDhVRx.html#93beb24ec9
2,49,60500,1235,Oradea,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-in-prima-universitatii-oradea-IDlSgD.html#93beb24ec9
3,55,69000,738,Rogerius,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-stefan-cel-mare-IDiihA.html#93beb24ec9
